"drugFix1" "drugFix2" "drugFix3" "drugFix4" "drugFix5" "drugFix6" "drugFix7" "alcConsq1" "alcConsq2" "alcConsq3" "alcConsq4" "alcConsq5" "alcConsq6" "alcConsq7" "alcFix1" "alcFix2" "alcFix3" "alcFix4" "alcFix5" "alcFix6" "alcFix7" "alcFix8" "alcFix9" "alcFix10" "aidFix1" "aidFix2" "aidFix3" "aidFix4" "aidFix5"
"5314" 1 3 2 5 7 4 6 4 3 2 7 5 1 6 4 1 3 2 NA NA NA 5 NA NA 1 3 2 5 4
"5315" 2 5 6 3 4 1 7 6 4 1 5 7 2 3 2 1 3 NA NA NA NA NA 4 5 1 5 2 4 3
"5316" 2 1 7 3 6 5 4 2 1 3 6 7 4 5 5 NA NA NA 1 NA NA 2 4 3 3 4 5 2 1
"5317" 4 2 5 3 7 1 6 3 2 5 4 7 6 1 5 1 4 NA 2 NA NA 3 NA NA 4 2 5 3 1
"5318" 1 2 7 5 3 4 6 1 2 4 5 7 6 3 1 3 4 NA NA NA NA 5 NA 2 2 4 5 3 1
"5319" 2 1 3 6 5 4 7 1 2 4 7 5 6 3 2 1 NA NA 5 NA NA 3 4 NA 3 5 4 2 1
"5320" 5 3 7 4 6 1 2 1 2 3 6 5 7 4 NA 1 NA NA 3 NA NA 2 5 4 3 4 5 2 1
"5321" 2 1 4 6 7 5 3 1 2 3 6 5 7 4 5 1 NA NA 2 NA NA NA 3 4 4 1 5 3 2
"5322" 2 4 7 5 6 1 3 7 4 1 6 2 5 3 1 2 NA NA 3 NA NA 5 NA 4 2 4 5 3 1
"5323" 2 3 6 4 5 1 7 3 4 1 6 5 2 7 2 1 3 4 NA NA NA 5 NA NA 1 4 5 2 3
"5324" 3 2 6 4 5 1 7 3 4 1 5 7 6 2 NA 1 2 3 NA NA NA NA 4 5 1 4 5 3 2
"5325" 5 1 2 4 3 7 6 2 1 3 6 5 7 4 NA 1 4 2 5 NA NA NA 3 NA 2 4 3 5 1
"5326" 5 1 3 2 6 7 4 2 1 5 6 4 7 3 3 1 NA NA 2 NA NA 4 NA 5 1 4 3 2 5
"5327" 2 4 5 7 6 1 3 1 2 4 5 6 7 3 NA 4 3 NA 2 NA NA 5 1 NA 3 4 5 2 1
"5328" 1 5 7 2 6 3 4 4 3 1 2 7 6 5 1 2 NA NA 4 3 NA 5 NA NA 1 4 5 2 3
"5329" 5 7 6 1 3 4 2 2 1 3 5 4 7 6 4 1 NA NA 5 NA NA 2 NA 3 1 2 5 3 4
"5330" 1 7 5 6 2 3 4 1 2 3 4 7 6 5 1 2 NA NA NA NA NA 3 4 5 1 4 5 2 3
"5331" 5 7 2 1 4 3 6 1 NA NA 3 NA NA 2 1 2 NA NA NA NA NA 3 4 5 2 3 5 4 1
"5332" 1 6 7 5 3 2 4 1 2 6 5 7 3 4 1 2 NA NA 5 NA NA 3 4 NA 2 3 5 4 1
"5333" 6 5 4 1 7 2 3 1 2 3 4 5 6 7 4 3 NA NA 2 NA NA 1 NA 5 1 5 4 3 2
"5334" 6 5 7 1 2 4 3 3 4 1 2 7 6 5 NA 1 NA NA 5 NA NA 4 2 3 4 3 5 2 1
"5335" 7 4 5 6 1 3 2 3 2 5 6 7 4 1 NA NA 1 NA 2 5 NA 3 4 NA 5 2 1 4 3
"5336" 2 1 7 3 6 4 5 1 3 2 7 6 4 5 NA 1 NA NA 2 NA NA 3 4 5 5 4 2 3 1
"5337" 3 1 2 6 7 4 5 2 3 1 7 4 5 6 2 1 NA 5 3 NA NA 4 NA NA 3 1 5 4 2
"5338" 3 2 7 6 5 1 4 3 1 2 7 4 5 6 2 1 NA NA 4 NA NA 3 5 NA 3 1 5 2 4
"5339" 3 2 7 6 5 1 4 1 4 2 7 5 3 6 2 1 NA 5 3 NA NA 4 NA NA 3 1 2 4 5
"5340" 2 3 7 4 5 1 6 1 2 4 7 5 6 3 1 NA 3 NA 2 NA NA NA 5 4 1 3 5 4 2
"5341" 2 1 7 3 4 5 6 5 3 1 2 6 4 7 4 2 1 3 5 NA NA NA NA NA 3 5 4 2 1
"5342" 3 4 5 6 7 1 2 1 2 5 6 7 4 3 2 NA NA NA 1 NA NA 3 5 4 3 5 1 2 4
"5343" 2 4 7 6 5 1 3 1 2 5 4 6 7 3 1 4 2 NA 3 NA NA 5 NA NA 1 4 3 5 2
"5344" 2 6 7 3 1 4 5 3 1 2 4 7 5 6 NA NA NA 1 2 3 NA 4 5 NA 3 4 5 2 1
"5345" 3 6 7 1 2 4 5 3 1 4 7 6 5 2 4 NA NA NA 5 NA NA 1 2 3 3 4 5 2 1
"5346" 1 2 3 7 4 5 6 1 2 3 4 6 5 7 5 1 3 2 4 NA NA NA NA NA 4 3 5 2 1
"5347" 3 7 6 5 1 2 4 2 3 5 6 4 1 7 3 4 NA 2 NA 5 NA NA 1 NA 2 5 4 3 1
"5348" 1 6 7 5 2 3 4 1 2 4 7 5 3 6 1 2 NA 3 NA 4 NA 5 NA NA 1 5 4 3 2
"5349" 5 6 7 3 2 1 4 2 1 4 5 6 3 7 1 3 NA 5 NA 4 NA NA 2 NA 1 4 5 3 2
"5350" 7 1 6 4 3 2 5 1 2 7 6 5 3 4 5 4 NA 3 NA 1 NA NA 2 NA 3 4 5 2 1
"5351" 5 7 6 4 1 2 3 2 1 4 7 6 3 5 3 2 NA 5 NA 4 NA NA 1 NA 3 4 5 1 2
"5352" 4 7 6 5 3 2 1 1 2 5 6 7 3 4 2 3 NA 4 NA 1 NA NA 5 NA 3 5 4 2 1
"5353" 3 6 7 5 2 1 4 2 3 4 6 7 5 1 2 1 NA 3 NA 5 NA NA 4 NA 2 4 5 3 1
"5354" 3 6 7 4 2 1 5 2 3 4 5 6 7 1 4 3 5 2 NA 1 NA NA NA NA 3 4 5 2 1
"5355" 6 2 7 3 5 1 4 1 2 3 6 4 7 5 NA NA 4 NA 3 NA NA 2 5 1 2 5 3 4 1
"5356" 5 1 2 6 4 3 7 1 2 6 7 5 3 4 NA 1 NA 2 3 NA NA 4 NA 5 4 5 1 2 3
"5357" 5 2 7 3 4 1 6 1 2 3 5 7 4 6 5 NA NA NA 2 NA NA 3 1 4 2 4 5 3 1
"5358" 1 3 7 4 2 5 6 1 2 4 5 7 6 3 1 NA 2 NA NA NA NA 3 5 4 1 4 5 3 2
"5359" 5 1 2 3 4 6 7 1 2 4 5 3 6 7 2 1 3 NA 4 NA NA NA 5 NA 5 4 1 2 3
"5360" 3 2 7 5 6 1 4 3 1 4 5 6 7 2 2 1 5 NA 4 NA NA NA 3 NA 2 4 5 3 1
"5361" 1 5 7 3 6 4 2 2 1 7 5 6 4 3 NA 3 1 4 NA NA NA NA 2 5 3 1 4 5 2
"5362" 1 3 4 5 6 2 7 2 1 4 5 7 3 6 1 NA NA NA 5 NA NA 4 2 3 3 4 5 2 1
"5363" 1 6 7 4 5 3 2 1 2 3 4 5 7 6 NA 1 NA NA 2 NA NA 3 4 5 1 4 5 2 3
"5364" 1 2 4 6 7 5 3 1 6 5 7 4 2 3 1 2 NA 3 NA 5 NA 4 NA NA 1 3 4 2 5
"5365" 3 1 4 7 6 5 2 3 2 1 7 5 4 6 2 1 NA NA 3 5 NA 4 NA NA 4 2 5 3 1
"5366" 2 6 7 5 4 1 3 7 2 1 4 6 3 5 4 NA 1 NA 2 NA NA 3 5 NA 3 1 5 4 2
"5367" 2 6 7 3 4 1 5 3 4 1 5 7 6 2 3 4 NA NA NA NA NA 5 1 2 4 3 5 2 1
"5368" 1 6 7 5 2 3 4 1 4 3 5 7 6 2 1 5 NA NA 4 NA NA 3 2 NA 1 2 5 4 3
"5369" 1 7 5 2 3 4 6 2 4 3 5 6 7 1 NA 5 NA NA 4 NA NA 3 1 2 4 5 1 2 3
"5370" 1 3 6 5 7 2 4 1 6 2 3 7 5 4 4 1 3 NA 2 NA NA 5 NA NA 4 1 5 3 2
"5371" 4 3 7 1 6 5 2 1 5 2 6 7 3 4 NA 1 NA NA 2 NA NA 3 5 4 4 5 1 2 3
"5372" 2 6 4 1 5 3 7 1 2 3 7 5 6 4 1 4 NA NA NA NA NA 3 2 5 1 5 4 3 2
"5373" 3 1 2 7 6 5 4 1 2 4 6 5 7 3 1 2 4 5 3 NA NA NA NA NA 2 3 1 5 4
"5374" 5 1 2 6 7 3 4 1 6 5 7 4 2 3 NA 1 4 3 2 5 NA NA NA NA 4 3 5 2 1
"5375" 4 2 6 3 7 1 5 1 2 3 5 4 6 7 NA 1 5 2 3 4 NA NA NA NA 5 2 1 4 3
"5376" 7 1 2 6 5 3 4 1 2 3 7 4 6 5 NA NA 1 2 3 NA NA 4 NA 5 4 5 1 2 3
"5377" 1 2 6 4 7 3 5 4 3 2 7 5 6 1 1 3 5 NA 2 NA NA NA NA 4 1 4 5 3 2
"5378" 6 1 7 4 5 2 3 1 5 4 7 6 2 3 NA NA 3 2 1 5 NA 4 NA NA 3 4 5 2 1
"5379" 6 3 7 2 1 4 5 1 2 6 5 4 7 3 NA 2 1 3 NA NA NA 4 NA 5 3 5 4 1 2
"5380" 5 1 4 6 7 2 3 4 6 2 7 3 1 5 1 2 3 NA 4 5 NA NA NA NA 1 3 5 4 2
"5381" 3 1 7 4 6 2 5 1 2 4 7 3 5 6 NA 1 4 NA NA NA NA 2 5 3 5 2 3 1 4
"5382" 4 3 7 1 2 6 5 6 4 1 3 2 7 5 NA 2 NA NA 1 NA NA 3 4 5 3 5 1 4 2
"5383" 1 2 6 7 3 4 5 1 3 2 7 5 4 6 1 NA NA NA 5 NA NA 2 4 3 1 4 5 3 2
"5384" 3 1 7 5 4 6 2 3 4 7 5 6 2 1 2 NA 1 NA NA 3 NA 4 5 NA 1 4 5 3 2
"5385" 7 1 6 3 4 5 2 5 2 1 7 3 4 6 NA 1 NA NA 3 NA NA 2 5 4 5 3 4 2 1
"5386" 4 2 5 7 1 3 6 1 2 5 7 4 6 3 NA 1 3 NA 2 NA NA 5 4 NA 3 5 2 4 1
"5387" 4 6 7 1 3 2 5 1 2 3 5 7 6 4 2 NA 1 NA 3 4 NA NA 5 NA 3 4 5 2 1
"5388" 2 1 5 7 6 3 4 1 2 3 7 6 4 5 4 NA 1 NA 2 3 NA 5 NA NA 3 4 5 2 1
"5389" 5 6 7 4 3 1 2 1 2 3 7 5 4 6 2 3 1 NA NA NA NA 4 NA 5 2 4 5 3 1
"5390" 2 1 5 4 6 7 3 1 2 6 5 4 7 3 1 2 NA NA 3 NA 4 5 NA NA 3 1 5 2 4
"5391" 1 6 5 2 3 7 4 1 2 6 7 3 4 5 2 1 NA NA 3 NA NA 4 5 NA 1 2 5 3 4
"5392" 1 2 7 6 3 4 5 2 1 6 7 3 4 5 1 2 NA NA 3 4 NA 5 NA NA 1 2 5 4 3
"5393" 1 3 2 4 6 7 5 2 1 4 7 3 5 6 1 2 NA NA 3 NA NA 4 NA 5 1 2 5 3 4
"5394" 6 1 7 2 4 3 5 1 2 6 4 7 5 3 NA 1 2 NA 3 4 NA 5 NA NA 1 3 4 5 2
"5395" 2 7 6 1 5 3 4 1 2 6 7 3 4 5 4 NA NA NA 5 NA NA 1 3 2 2 5 4 3 1
"5396" 5 1 7 4 2 3 6 2 1 3 5 6 7 4 NA 3 2 NA 4 1 NA NA NA 5 3 4 5 2 1
"5397" NA 1 NA NA NA NA NA 1 2 3 4 5 6 7 1 2 3 4 NA NA 5 NA NA NA 1 2 3 5 4
"5398" NA NA NA NA NA NA 1 2 3 NA NA NA 1 NA NA 5 2 1 NA NA NA 3 NA 4 4 3 5 2 1
"5399" 6 1 2 3 7 4 5 4 3 5 6 2 7 1 5 4 3 2 1 NA NA NA NA NA 3 4 1 2 5
"5400" 5 1 7 4 6 2 3 2 3 5 4 6 7 1 1 NA NA NA 2 NA NA 3 5 4 4 2 5 3 1
"5401" 2 5 6 7 3 4 1 1 5 6 7 2 3 4 1 2 NA NA 3 NA NA 4 5 NA 2 4 5 3 1
"5402" 4 5 7 6 1 2 3 3 4 5 6 7 2 1 1 NA NA 5 NA 2 NA 4 3 NA 1 4 5 2 3
"5403" 4 1 2 6 5 7 3 2 1 4 6 5 3 7 2 1 NA 3 4 NA 5 NA NA NA 3 5 1 2 4
"5404" 3 6 7 4 1 2 5 2 1 3 5 6 7 4 1 NA NA NA NA 2 NA NA 4 3 1 5 4 3 2
"5405" 5 6 7 3 2 1 4 1 2 4 6 5 7 3 NA 5 4 NA NA NA NA 1 2 3 3 4 5 2 1
"5406" 2 3 7 4 1 5 6 6 4 3 2 5 7 1 2 NA 1 NA NA 3 NA 4 NA 5 2 3 5 4 1
"5407" 5 1 4 6 7 3 2 1 2 3 4 5 6 7 NA 1 2 3 4 NA NA 5 NA NA 4 3 5 1 2
"5408" 6 1 2 5 7 3 4 1 2 3 4 5 6 7 NA 1 NA NA 5 4 NA 2 3 NA 4 5 3 1 2
"5409" 1 2 6 4 7 3 5 3 1 2 6 5 7 4 2 NA 3 NA 1 NA NA NA 5 4 2 4 5 3 1
"5410" 3 6 7 5 4 1 2 1 2 4 6 5 7 3 2 1 3 NA 4 NA NA NA 5 NA 3 2 5 4 1
"5411" 3 2 7 4 5 1 6 1 2 3 6 4 5 7 4 2 NA 3 1 NA NA 5 NA NA 1 4 5 3 2
"5412" 3 1 2 4 5 7 6 2 1 4 6 3 5 7 2 1 4 NA 3 NA NA NA NA 5 1 4 5 2 3
"5413" 6 7 5 3 4 1 2 1 4 5 7 6 3 2 NA 2 1 NA 3 NA NA NA 5 4 3 4 5 2 1
"5414" 4 7 5 1 2 6 3 2 1 3 5 4 6 7 NA NA 1 NA 2 NA NA 5 4 3 4 3 1 2 5
"5415" 4 6 7 3 1 2 5 1 2 4 5 6 7 3 2 5 NA NA 3 4 NA NA 1 NA 3 5 4 2 1
"5416" 5 6 7 4 3 1 2 1 2 3 5 6 7 4 NA NA NA NA 5 4 NA 2 1 3 3 5 4 2 1
"5417" 6 3 7 2 5 1 4 1 2 4 5 6 7 3 5 3 NA NA NA NA NA 1 4 2 4 3 5 2 1
"5418" 5 1 2 4 7 3 6 4 2 1 7 6 3 5 3 1 NA NA 2 4 NA 5 NA NA 3 2 5 4 1
"5419" 4 2 3 6 5 1 7 4 5 1 7 2 3 6 2 1 NA 5 3 NA NA 4 NA NA 3 1 4 2 5
"5420" 4 1 3 7 6 5 2 5 3 2 7 1 4 6 3 1 4 NA 2 NA NA 5 NA NA 2 3 1 5 4
"5421" 5 4 3 7 6 2 1 3 2 7 5 4 6 1 4 1 3 2 NA 5 NA NA NA NA 2 1 3 4 5
"5422" 6 3 4 5 7 1 2 2 1 3 6 7 5 4 NA 3 4 5 2 1 NA NA NA NA 1 4 5 3 2
"5423" 4 3 5 6 1 2 7 7 3 2 1 5 4 6 NA 1 2 5 4 NA 3 NA NA NA 2 3 5 4 1
"5424" 6 4 7 5 1 2 3 2 1 6 5 3 7 4 NA 2 1 NA 5 4 NA NA 3 NA 2 3 5 4 1
"5425" 7 3 4 6 5 1 2 3 2 5 6 7 4 1 1 NA 2 5 NA 3 4 NA NA NA 1 4 5 2 3
"5426" 7 6 5 4 1 3 2 3 4 2 1 7 6 5 NA 1 2 5 3 4 NA NA NA NA 2 3 4 5 1
"5427" 4 2 1 3 5 6 7 1 3 4 2 5 6 7 NA 1 2 3 4 NA NA NA 5 NA 2 3 5 4 1
"5428" 4 5 6 7 1 2 3 5 NA 1 2 3 4 6 NA 2 NA 1 5 4 NA NA 3 NA 3 4 5 1 2
"5429" 3 2 7 6 4 1 5 2 1 3 5 7 6 4 4 2 3 NA 1 NA NA 5 NA NA 1 2 3 4 5
"5430" 4 1 5 7 6 3 2 3 2 7 5 1 6 4 NA 4 NA NA 1 NA 2 3 NA 5 2 5 3 4 1
"5431" 6 5 7 3 2 1 4 5 1 3 7 6 2 4 NA 1 4 NA 2 3 NA NA NA 5 5 4 3 2 1
"5432" 3 2 7 6 5 1 4 2 1 5 6 7 3 4 1 2 NA NA 3 NA NA 4 5 NA 3 2 5 4 1
"5433" 3 2 4 7 6 1 5 1 2 4 5 3 6 7 4 1 2 NA 3 5 NA NA NA NA 4 3 5 2 1
"5434" 6 5 7 4 2 3 1 1 5 2 4 3 6 7 5 NA 1 2 3 4 NA NA NA NA 1 3 2 5 4
"5435" 7 1 5 4 6 2 3 1 2 4 5 6 7 3 NA 1 2 5 3 NA NA 4 NA NA 5 4 1 2 3
"5436" 7 3 4 5 6 2 1 5 3 2 6 7 4 1 3 2 NA NA 1 NA NA 4 5 NA 2 5 3 4 1
"5437" 1 5 7 4 2 3 6 2 1 4 7 6 5 3 4 5 NA NA 1 NA NA 2 NA 3 1 2 5 3 4
"5438" 5 1 4 6 7 2 3 1 2 4 6 7 3 5 5 1 2 3 NA NA NA 4 NA NA 3 2 5 1 4
"5439" 2 1 3 4 7 6 5 4 1 6 2 5 7 3 3 1 2 NA 5 NA NA 4 NA NA 2 5 1 3 4
"5440" 1 6 7 2 4 5 3 7 5 6 3 2 1 4 NA 5 4 NA 1 3 NA NA NA 2 NA NA 1 NA 2
"5441" 3 4 7 2 6 1 5 1 2 4 5 7 6 3 1 2 NA NA 3 NA NA 4 5 NA 4 3 1 2 5
"5442" 1 5 6 4 7 3 2 2 1 3 5 6 7 4 1 2 3 5 4 NA NA NA NA NA 1 3 5 4 2
"5443" 1 5 7 2 3 6 4 1 2 5 4 7 3 6 1 NA NA 2 3 NA NA NA 5 4 1 5 2 3 4
"5444" 3 2 1 6 7 4 5 6 1 2 7 3 4 5 4 1 2 NA NA NA NA 3 5 NA 3 4 1 2 5
"5445" 3 4 1 5 6 7 2 1 2 3 7 4 5 6 1 2 3 NA 4 NA NA 5 NA NA 5 1 2 3 4
"5446" 5 2 6 4 7 1 3 1 2 5 6 7 3 4 1 5 NA NA 4 NA NA 2 NA 3 1 5 4 3 2
"5447" 4 3 5 2 6 7 1 1 3 2 5 7 4 6 NA 4 NA NA 1 NA NA 2 3 5 1 2 5 3 4
"5448" 1 5 7 6 4 2 3 1 3 2 6 5 4 7 NA 1 NA NA 2 NA NA 3 4 5 2 4 5 3 1
"5449" 2 1 7 3 4 6 5 4 1 2 6 5 3 7 3 4 2 1 5 NA NA NA NA NA 3 4 5 2 1
"5450" 6 1 2 5 7 4 3 2 1 3 4 6 7 5 1 NA 2 NA NA NA NA 3 5 4 1 5 4 2 3
"5451" 4 6 7 5 1 3 2 2 1 4 6 5 7 3 3 2 1 NA NA NA NA NA 5 4 4 5 3 2 1
"5452" 5 1 2 7 4 3 6 1 3 2 4 6 5 7 NA 1 2 NA 3 5 NA NA 4 NA 5 2 3 4 1
"5453" 7 3 6 5 4 2 1 2 3 4 5 1 6 7 2 1 3 NA 4 NA NA 5 NA NA 2 3 5 4 1
"5454" 2 6 7 4 3 1 5 2 1 6 4 7 5 3 2 4 3 NA 1 NA NA NA 5 NA 2 5 4 3 1
"5455" 5 2 7 1 3 4 6 2 1 4 3 5 6 7 2 NA 1 NA 3 NA NA 4 5 NA 3 5 4 1 2
"5456" 1 3 7 4 6 2 5 1 2 3 5 6 7 4 1 5 NA NA 2 NA NA 3 NA 4 1 NA NA 3 2
"5457" 4 6 7 3 2 1 5 1 2 3 5 7 6 4 1 NA 5 NA 2 NA NA NA 3 4 2 4 5 3 1
"5458" 6 4 7 3 5 1 2 2 3 4 6 5 7 1 NA 3 2 NA 1 NA NA 4 NA 5 5 3 4 2 1
"5459" 2 1 7 3 4 5 6 4 1 3 5 2 6 7 5 4 NA 1 NA NA NA 3 NA 2 1 3 5 4 2
"5460" 2 4 7 6 3 1 5 1 2 4 5 7 6 3 2 5 3 NA 4 NA NA 1 NA NA 2 4 5 3 1
"5461" 1 4 5 6 7 2 3 3 4 2 5 6 1 7 1 NA NA 2 NA 3 NA 4 5 NA 1 4 5 3 2
"5462" 4 7 5 6 3 1 2 1 2 6 5 4 3 7 1 NA NA NA 5 NA 2 NA 3 4 1 4 5 3 2
"5463" 5 3 2 6 7 1 4 2 1 7 6 3 4 5 4 1 2 NA 3 NA NA NA 5 NA 3 2 5 1 4
"5464" 5 2 7 3 6 4 1 3 4 5 1 2 7 6 5 4 3 NA 1 2 NA NA NA NA 3 5 4 1 2
"5465" 6 1 5 2 3 4 7 1 4 6 2 7 5 3 NA NA NA 3 1 2 NA 4 5 NA 2 3 5 4 1
"5466" 1 6 7 4 3 2 5 1 2 3 7 4 5 6 4 NA 2 NA 1 NA NA 3 NA 5 3 4 5 2 1
"5467" 7 2 3 5 6 1 4 6 5 3 4 7 2 1 4 3 2 NA 1 NA NA NA 5 NA 1 5 2 3 4
"5468" 1 3 6 7 4 5 2 1 2 6 5 4 3 7 1 2 NA NA NA NA NA 3 4 5 1 5 4 3 2
"5469" 1 4 5 2 6 3 7 1 5 7 6 2 3 4 1 NA 2 NA 3 NA NA 5 NA 4 1 5 3 2 4
"5470" 1 4 6 5 2 3 7 1 3 6 4 7 5 2 1 NA 2 4 5 3 NA NA NA NA 1 5 4 2 3
"5471" 3 1 6 5 7 2 4 1 2 6 7 3 5 4 5 1 3 2 4 NA NA NA NA NA 1 3 2 4 5
"5472" 4 1 3 2 6 5 7 1 5 2 7 6 3 4 5 1 4 NA 2 NA NA 3 NA NA 1 5 4 2 3
"5473" 3 2 7 6 4 1 5 1 7 2 3 4 6 5 2 5 NA NA 1 NA NA 3 NA 4 1 4 2 3 5
"5474" 2 1 6 5 7 4 3 2 5 3 7 4 1 6 3 NA 2 5 NA 1 NA NA 4 NA 1 3 2 4 5
"5475" 1 2 6 4 7 5 3 1 2 3 4 5 6 7 1 4 NA NA 2 NA NA 3 NA 5 1 5 4 2 3
"5476" 4 5 6 1 7 2 3 1 2 3 4 5 6 7 2 3 1 NA 4 NA NA 5 NA NA 1 3 4 5 2
"5477" 1 3 4 7 5 2 6 1 7 4 2 3 6 5 NA NA 1 NA 2 3 NA 5 NA 4 2 5 3 4 1
"5478" 3 2 1 4 6 5 7 1 2 4 6 5 3 7 5 3 2 NA 1 NA NA NA 4 NA 1 4 5 3 2
"5479" 2 1 6 5 7 4 3 2 3 5 4 6 7 1 NA 1 4 NA 2 NA NA 3 NA 5 1 5 4 3 2
"5480" 2 3 4 5 7 1 6 1 2 5 6 7 3 4 2 1 4 5 3 NA NA NA NA NA 1 4 3 5 2
"5481" 7 5 3 6 4 1 2 7 6 5 4 2 1 3 5 NA NA NA 4 NA NA 3 2 1 3 2 1 4 5
"5482" 2 3 7 5 6 1 4 2 1 3 4 5 7 6 NA NA NA 5 NA 4 NA 1 2 3 5 4 3 1 2
"5483" 7 2 3 6 5 1 4 1 2 6 7 5 4 3 NA 1 3 2 4 NA NA 5 NA NA 5 1 3 4 2
"5484" 4 3 2 5 7 1 6 2 5 3 6 4 7 1 NA 2 NA 3 4 NA NA 1 NA 5 5 3 1 2 4
"5485" 2 1 3 4 6 5 7 2 1 4 5 7 6 3 2 1 3 4 5 NA NA NA NA NA 4 3 5 1 2
"5486" 2 1 7 6 5 4 3 1 2 3 6 7 4 5 3 1 NA NA 2 4 NA 5 NA NA 1 5 4 3 2
"5487" 2 6 7 3 4 5 1 1 2 6 7 5 4 3 1 2 NA NA 3 NA NA 4 NA 5 1 4 5 3 2
"5488" 4 2 3 5 6 1 7 1 2 4 7 5 3 6 1 2 NA NA NA NA NA 4 3 5 1 5 4 2 3
"5489" 6 2 1 7 4 5 3 2 1 7 4 6 5 3 5 4 3 NA 2 1 NA NA NA NA 5 1 2 3 4
"5490" 4 5 6 7 2 1 3 2 1 3 4 7 5 6 1 NA 2 3 4 5 NA NA NA NA 2 1 5 3 4
"5491" 1 6 7 4 5 2 3 1 2 5 7 4 6 3 2 1 NA 3 NA NA NA NA 4 5 2 1 5 4 3
"5492" 3 5 4 6 2 1 7 1 2 5 6 7 3 4 2 3 1 5 4 NA NA NA NA NA 1 4 5 2 3
"5493" 2 5 6 4 3 1 7 1 2 4 7 5 6 3 1 NA NA 5 NA NA NA 4 2 3 1 2 5 3 4
"5494" 1 2 3 5 6 4 7 1 2 5 6 3 4 7 NA 1 NA 2 3 NA NA 4 NA 5 3 1 5 2 4
"5495" 1 7 6 5 2 4 3 1 4 3 5 6 7 2 2 1 3 NA 4 NA NA 5 NA NA 1 4 5 2 3
"5496" 6 3 1 5 7 2 4 1 2 4 5 6 7 3 2 1 NA 3 NA NA NA NA 4 5 2 1 4 3 5
"5497" 7 1 2 3 6 4 5 1 2 6 5 4 7 3 4 3 NA 5 NA NA NA 1 NA 2 1 2 5 3 4
"5498" 3 4 5 6 2 1 7 2 1 4 5 6 3 7 NA 5 4 NA 1 2 NA 3 NA NA 3 2 5 4 1
"5499" 1 3 4 5 2 NA NA 2 1 3 4 5 6 7 2 1 3 4 5 NA NA NA NA NA 2 3 5 4 1
"5500" 1 2 7 6 3 4 5 1 2 6 7 3 4 5 4 1 2 3 5 NA NA NA NA NA 1 4 3 5 2
"5501" 2 1 3 6 7 5 4 7 6 4 3 2 5 1 NA 4 3 NA 2 1 NA 5 NA NA 3 2 5 4 1
"5502" 1 2 5 6 7 3 4 2 1 6 7 3 4 5 1 2 3 4 5 NA NA NA NA NA 1 5 2 4 3
"5503" 1 2 6 7 5 3 4 1 2 6 7 3 4 5 1 2 3 NA NA 4 NA NA NA 5 1 2 5 4 3
"5504" 5 4 3 2 1 6 7 2 1 3 7 4 5 6 3 2 5 4 1 NA NA NA NA NA 2 1 3 4 5
"5505" 2 1 6 5 3 4 7 1 2 3 4 5 6 7 1 2 3 5 4 NA NA NA NA NA 2 3 5 4 1
"5506" 2 7 6 5 1 3 4 2 5 1 3 7 4 6 NA 1 5 3 4 NA NA NA 2 NA 1 4 5 3 2
"5507" 2 1 6 7 3 4 5 5 6 1 7 4 2 3 4 1 2 NA 3 NA NA NA 5 NA 2 4 5 3 1
"5508" 3 1 2 4 7 5 6 1 2 6 5 7 3 4 NA 1 2 NA 3 NA NA NA NA NA 4 1 5 2 3
"5509" 3 1 2 7 4 6 5 1 6 5 4 3 7 2 3 2 NA NA NA 1 NA NA 4 5 1 5 4 2 3
"5510" 2 4 7 3 5 1 6 7 6 1 4 2 3 5 1 NA 2 NA 3 NA NA NA 4 5 2 3 5 4 1
"5511" 3 4 5 6 2 7 1 2 1 7 4 6 3 5 3 4 NA 5 NA 1 NA NA 2 NA 3 2 5 4 1
"5512" 6 3 4 5 2 1 7 2 1 5 6 7 3 4 NA 1 2 NA 3 NA NA NA 4 5 2 1 5 4 3
"5513" 2 5 6 4 7 1 3 1 5 4 7 3 6 2 3 2 NA NA 1 4 NA NA 5 NA 2 4 1 5 3
"5514" 6 2 7 4 3 1 5 2 1 4 6 7 5 3 3 5 NA NA NA NA NA 4 2 1 3 1 5 4 2
"5515" 4 6 7 2 3 1 5 2 1 3 6 4 7 5 NA 3 2 4 NA 1 NA 5 NA NA 3 5 4 2 1
"5516" 2 7 4 6 3 1 5 1 2 6 5 7 3 4 2 1 5 NA NA 4 NA NA NA 3 2 1 3 5 4
"5517" 3 1 6 7 4 5 2 1 3 5 7 6 4 2 5 1 NA 2 NA NA NA NA 4 3 1 4 5 2 3
"5518" 2 1 7 3 6 4 5 2 4 1 7 3 5 6 4 3 NA NA 1 2 NA 5 NA NA 2 4 5 3 1
"5519" 3 5 7 2 6 1 4 5 6 1 3 4 7 2 2 4 3 NA 1 NA NA 5 NA NA 1 4 5 3 2
"5520" 6 2 1 3 7 4 5 1 2 7 4 5 6 3 5 4 2 1 3 NA NA NA NA NA 5 1 4 2 3
"5521" 3 4 5 6 2 1 7 7 1 6 2 5 4 3 1 2 NA NA NA NA NA 3 4 5 2 3 4 5 1
"5522" 1 3 2 5 4 6 7 1 2 3 6 7 5 4 2 1 NA NA NA NA NA 3 4 5 4 5 3 2 1
