"drugFix1" "drugFix2" "drugFix3" "drugFix4" "drugFix5" "drugFix6" "drugFix7" "alcConsq1" "alcConsq2" "alcConsq3" "alcConsq4" "alcConsq5" "alcConsq6" "alcConsq7" "alcFix1" "alcFix2" "alcFix3" "alcFix4" "alcFix5" "alcFix6" "alcFix7" "alcFix8" "alcFix9" "alcFix10" "aidFix1" "aidFix2" "aidFix3" "aidFix4" "aidFix5"
"58" 4 1 3 7 5 2 6 4 1 3 5 6 2 7 1 2 4 NA 3 NA NA NA NA 5 1 4 3 2 5
"59" 5 2 7 3 4 1 6 2 1 3 5 7 6 4 3 NA 1 NA 4 NA NA 5 NA 2 3 4 5 2 1
"60" 3 1 2 4 6 7 5 1 2 3 7 6 5 4 3 NA 2 NA 1 NA NA 4 NA 5 2 4 5 3 1
"61" 6 1 7 3 5 2 4 1 4 2 6 7 5 3 NA 2 5 NA 3 1 NA NA NA 4 4 3 5 1 2
"62" 4 1 7 2 3 5 6 1 2 3 7 5 6 4 2 1 NA 5 3 NA NA NA NA 4 4 2 5 3 1
"63" 4 1 6 2 7 3 5 2 3 4 5 7 6 1 1 5 NA NA NA NA NA 2 3 4 3 4 5 2 1
"64" 2 1 3 4 5 6 7 1 2 4 5 6 7 3 1 NA NA NA 5 NA NA 4 3 2 2 5 4 3 1
"65" 1 6 7 2 3 4 5 2 3 1 5 4 7 6 1 NA 2 3 4 NA NA NA 5 NA 2 5 4 1 3
"66" 5 1 6 2 7 3 4 4 3 7 5 6 2 1 1 NA 2 NA NA NA NA 3 5 4 3 4 5 1 2
"67" 2 1 5 3 6 7 4 1 3 2 5 6 7 4 2 NA NA 3 1 NA NA 4 NA 5 3 2 5 1 4
"68" 4 1 2 3 5 6 7 3 2 1 4 6 7 5 NA 5 NA NA 1 NA NA 2 4 3 5 3 4 1 2
"69" 7 1 2 5 6 3 4 1 5 6 7 2 3 4 NA NA 4 NA 1 2 NA 3 5 NA 5 4 1 2 3
"70" 2 1 6 3 5 4 7 3 1 2 5 6 7 4 2 NA NA NA 1 NA NA 3 4 5 2 4 5 1 3
"71" 1 4 7 3 2 5 6 3 2 1 5 7 6 4 2 NA NA NA 5 NA NA 3 4 1 3 4 5 2 1
"72" 1 6 7 2 5 3 4 1 2 5 6 4 7 3 1 NA NA 2 3 NA NA 4 NA 5 3 5 4 2 1
"73" 1 NA NA NA NA NA NA 3 6 2 1 4 7 5 NA NA NA 1 NA 2 NA NA NA NA 4 5 1 3 2
"74" 4 2 1 5 7 3 6 1 3 7 2 6 5 4 1 NA 5 NA 4 NA NA 3 NA 2 4 5 3 1 2
"75" 1 5 7 2 3 6 4 2 3 6 7 1 5 4 NA 2 1 NA 3 NA NA 4 NA 5 1 2 5 3 4
"76" 2 1 7 4 6 5 3 1 2 6 7 5 4 3 1 NA NA NA 5 NA NA 2 3 4 1 5 4 2 3
"77" 7 1 3 2 4 5 6 1 2 7 4 6 5 3 NA 1 4 3 2 NA NA 5 NA NA 4 5 3 1 2
"78" 3 2 1 NA NA 4 NA 1 NA NA NA NA NA NA 1 2 NA NA 3 NA NA 4 NA 5 4 3 2 1 5
"79" 4 3 7 5 2 1 6 1 5 2 6 7 3 4 5 4 NA NA NA NA NA 1 2 3 3 NA NA 2 1
"80" 3 1 6 4 7 2 5 2 3 4 6 5 7 1 2 3 4 NA NA NA NA NA 5 1 1 NA NA 2 3
"81" 7 1 2 6 3 4 5 1 2 3 4 6 5 7 NA NA 1 2 3 4 NA 5 NA NA 5 1 2 3 4
"82" 6 5 7 1 2 3 4 2 3 4 5 6 7 1 NA 5 4 NA NA NA NA 3 2 1 4 5 3 1 2
"83" 3 2 7 4 5 1 6 1 2 7 3 4 6 5 2 5 NA NA NA NA NA 1 4 3 4 5 2 1 3
"84" 5 6 7 3 2 1 4 2 1 5 3 4 7 6 1 NA NA NA NA 5 NA 4 3 2 2 4 5 1 3
"85" 5 1 2 3 7 6 4 4 3 1 5 7 2 6 2 NA 5 NA 4 NA NA 3 NA 1 4 1 3 2 5
"86" 5 3 4 1 7 2 6 2 3 6 4 7 5 1 NA 5 NA 1 NA 2 NA 3 NA 4 3 4 5 1 2
"87" 4 1 7 2 5 3 6 1 2 5 6 3 4 7 4 NA 1 NA 5 NA NA NA 2 3 1 4 5 2 3
